Name,Contact,Address,Locality,City,Rating
Patni Enterprises,+(91)-9920688655 ; +(91)-9920231423 ; +(91)-22-38519784 ; 27430153 ; ,Shop No 16;17;Shitaldhara Complex plot 28; Sector-7; Kamothe; Mumbai - 410206; Near LG showroom,Ambarnath,Mumbai,4.2
S V Enterprises and Novelty and stationery,+(91)-9987689640 ; ,shop no 04; sawarkar road; Dombivli East; Mumbai - 421201; near Ganesh Mandir,Ambarnath,Mumbai,0.0
Maji sainik book depot,+(91)-9892568791 ; ,HIG shoping complex; birla college road; Kalyan City; Mumbai - 421301; near birla college,Ambarnath,Mumbai,0.0
Jagdish Book Depot,+(91)-9320078200 ; +(91)-251-2700455 ; 2704255 ; 2706560 ; ,Shop No 57; Japani Bazar; Ulhasnagar No 2; Mumbai - 421002; Nehru Chowk; Opp SAI Baba Market; Near Tirupati Balaji Market,Ambarnath,Mumbai,4.1
Prabhat Gift Novelty,+(91)-9029845042 ; 9421540470 ; +(91)-251-2691950 ; ,Shop No-2; Sai Kutir; Stattion Road; Badlapur; Mumbai - 421503; Near Gandhi Chowk,Ambarnath,Mumbai,4.0
Brb Enterprises,+(91)-9029320175 ; ,Vastu Vihar; Dombivli Industrial Area-Dombivli East; Mumbai - 421203; Shani Mandir; Manpada,Ambarnath,Mumbai,0.0
Navneet Book Depot & Stationary,+(91)-9970473250 ; ,St joseph colony; Rambaug road; Kalyan City; Mumbai - 421301; Holly cross,Ambarnath,Mumbai,4.3
Samruddhi Enterprises,+(91)-9930362137 ; ,Shop no 2; Before ST Juse School; Kalyan City; Mumbai - 421301; Opp Shree Balaji Optician,Ambarnath,Mumbai,0.0
Rajhans Complete Family Shop,+(91)-9819280861 ; +(91)-251-2363748 ; 9819216360 ; ,Arihant Darshan; Maratha Kolsewadi; Kalyan East; Mumbai - 421306; Opposite Shivsena Office,Ambarnath,Mumbai,4.0
Shanker Book Binding Store,+(91)-9922667154 ; +(91)-251-6551323 ; ,Shop No - 180; Station Road; Ulhasnagar No 3; Mumbai - 421002; Near Anand Ice cream,Ambarnath,Mumbai,5.0
Apcom Jumbo Xerox,+(91)-9320222240 ; ,Shop No. 5; Sainath Apartment; U.M.C. Road; Ulhasnagar No 3; Mumbai - 421002; Near H.D.F.C. Bank,Ambarnath,Mumbai,0.0
Vandana Novelty,+(91)-9923249172 ; ,Shop No 5; Classic Arcade; Navre Nagar Road; Ambernath; Mumbai - 421501; Royal Park,Ambarnath,Mumbai,0.0
Deepak's,+(91)-9422478382 ; +(91)-251-2702765 ; ,Japani Bazar; Ulhasnagar; Thane; Main Road; Ulhasnagar No 2; Mumbai - 421002; japani bazar,Ambarnath,Mumbai,0.0
Satkar Stationery & General Store,+(91)-8097647612 ; ,Shop No.2;Jalaram Co.op.CHS; Murbad Road; Kalyan City; Mumbai - 421301; Near Pornima Chowk,Ambarnath,Mumbai,0.0
Bagade Book Stall,+(91)-9011142224 ; 9323030678 ; ,Shop No 1099; Mahatma Gandhi Vidyalay; K B Road; Ambernath South; Mumbai - 421501; Opp MSEB Office,Ambarnath,Mumbai,3.4
Shree Samarth Stationery,+(91)-9320415588 ; ,A;4; Umapathi Madhav Srishti; Godrej Hill Road; Khadakpada-Kalyan City; Mumbai - 421301; Near Godrej Hill,Ambarnath,Mumbai,0.0
Romson,+(91)-251-2484899 ; ,Janai Bldg; G G Rd; Vishnu Nagar-Dombivli West; Mumbai - 421202,Ambarnath,Mumbai,4.7
More Stationery & Xerox,9224064802 ; +(91)-8108838389 ; ,Rajhans Society; Manpada Road; Dombivli East; Mumbai - 421201; Nr Govindashram Hotel,Ambarnath,Mumbai,4.0
Variety Stationary Store,+(91)-9892279086 ; +(91)-9869031808 ; +(91)-8879339262 ; ,C-17 Shubh Vihar Complex CHS LTD; Katrap Road; Badlapur; Mumbai - 421503; Near Aashirwad Hospital;Gaondevi Mandir,Ambarnath,Mumbai,3.5
Maru book centre,+(91)-9221043432 ; ,Mai mauli chs; Manpada road; Dombivli East; Mumbai - 421201; Opp gaodevi mandir,Ambarnath,Mumbai,0.0
Aditya Shoppee,+(91)-9029143513 ; 8976017174 ; ,Shop No.6; Shivdham Regency; Birla College Road; Kalyan City; Mumbai - 421301; Opposite Sahyadri Hospital,Ambarnath,Mumbai,0.0
Trimurti Store,+(91)-9967596269 ; ,Shop No. 04; Tilak Chowk; Kalyan City; Mumbai - 421301; Near DR. C B Vaidya Memorial Hospital,Ambarnath,Mumbai,0.0
Reshma Novelty,+(91)-9987780471 ; ,Shop No-7;Tulsi Dhara; Khadakpada Road; Khadakpada-Kalyan City; Mumbai - 421301; Near Gokul Nagri,Ambarnath,Mumbai,0.0
JAI Ambe Gift & Novelty,+(91)-9819754368 ; ,Shahad Fatak; Ulhasnagar; Thane; Shivaji Road; Ulhasnagar No 1; Mumbai - 421001,Ambarnath,Mumbai,0.0
Choice Novelty,+(91)-9821126999 ; ,Dombivli East; Thane; Shiv Mandir Road; Dombivli East; Mumbai - 421201,Ambarnath,Mumbai,0.0
Matta General Store,+(91)-9890252444 ; ,Shop No. 395; Station Road; Ulhasnagar No 3; Mumbai - 421002; Near Indra Gandhi Bhaji Market,Ambarnath,Mumbai,0.0
Janhavi Stationery & Novelty,+(91)-8108537600 ; ,ShopNo-4 Himganga Apartment; Haji Malang Road; Kalyan East; Mumbai - 421306; Near Nandivali Bus Stop,Ambarnath,Mumbai,0.0
Shah Xerox And Stationery,+(91)-9967374476 ; +(91)-9619795463 ; +(91)-9833683739 ; ,Shop No 9; Mitesh Apartment; Malad West; Mumbai - 400064; Opposite Sapna Hotel; Near N L College,Ambarnath,Mumbai,3.6
Sonam Stetionery,+(91)-9221487195 ; ,Chekenghar;Behind Holy Cross School Kalyan(W); Kalyan City; Mumbai - 421301,Ambarnath,Mumbai,0.0
Good Luck Stationery Point,+(91)-9029779701 ; +(91)-8422099701 ; ,Shop No 24; Plot No I1 Balaji Aangan Building; Sector 3; Kharghar; Mumbai - 410210; Opposite NIFT college,Ambarnath,Mumbai,4.3
Millennium Stationery & Xerox,+(91)-9930947745 ; +(91)-22-38520285 ; 27565725 ; 27565726 ; ,Shop No-12 SAI Pooja Chambers Plot No-58; Sector 11; Cbd Belapur; Mumbai - 400614; Near Railway Station Cbd,Ambarnath,Mumbai,3.4
Shree Swami Samarth Stationery,+(91)-9029733569 ; ,Shop No.3;Birla Collage; Birla Collage Road; Kalyan City; Mumbai - 421301; Near Birla Collage,Ambarnath,Mumbai,0.0
Harish Collection,26334412 ; +(91)-9833311667 ; 9819855031 ; +(91)-22-38591745 ; +(91)-7506898924 ; 26319628 ; ,Shop No 9; Embassy Building; Lokhandwala Complex; Andheri West; Mumbai - 400053; Opposite Foodin Hotels,Ambarnath,Mumbai,4.1
Satguru Stores,+(91)-251-2708115 ; +(91)-9850026600 ; ,Shop No.2;Ajit Ashiana; UMC Road; Ulhasnagar No 3; Mumbai - 421002; Opposite Shewadas Darbar,Ambarnath,Mumbai,0.0
Prabhat Stationery Xerox,9820592970 ; +(91)-251-2860212 ; 8169129832 ; +(91)-9867113393 ; ,Shop No 31/32 A Wing; Man Pada Road; Dombivli East; Mumbai - 421201; Kasturi Plaza,Ambarnath,Mumbai,3.5
Ekal Stationers & Printers,+(91)-251-3217785 ; ,Shop No 1; Rudra Kutir Bulding; Ambernath MIDC; Mumbai - 421506; Ambernath (E),Ambarnath,Mumbai,0.0
Ambika Stationers,+(91)-9821563274 ; ,Shop No. 4 ;Rendezvous Buildind;Raviraj Oberoi Cmplx; SAB TV Road;Off Link Road; Andheri West; Mumbai - 400053; Near Laxmi Plaza,Ambarnath,Mumbai,3.9
Bharat Novelty,+(91)-9594369809 ; ,Shop no.2 Sitamani Apt; Hendrepada; Badlapur; Mumbai - 421503; near Ganpati Mandir,Ambarnath,Mumbai,0.0
Mamal Stationery,+(91)-9168119995 ; ,Shop 1; Navre Nagar Road; Ambernath; Mumbai - 421501; City Hospital,Ambarnath,Mumbai,0.0
Tripti Book centre,+(91)-9820729010 ; +(91)-251-2863724 ; ,Patkar Building Shop No 2; Patkar Road; Dombivli East; Mumbai - 421201; Opp. Waman hari pethe,Ambarnath,Mumbai,5.0
Kumar Stationery,+(91)-9890855630 ; ,Shop No. 512; Aman Talkies Road; Ulhasnagar No 2; Mumbai - 421002; Near Nehru Chowk,Ambarnath,Mumbai,0.0
Arjun General Store,+(91)-9890398441 ; ,Ulhasnagar No 3; Thane; Station Road; Ulhasnagar No 3; Mumbai - 421002,Ambarnath,Mumbai,0.0
FAVES,+(91)-9867450203 ; ,Shop No 33/A;Gokul Park; Manav Mandir Complex; Vasai Road West; Mumbai - 401202; Next To Jagruti Kirana Store,Ambarnath,Mumbai,3.5
Laxmi Gift Gallery,+(91)-9867612902 ; 8652836636 ; ,Shop;No;5 &6 R P Homes; Nandivali Road; Dombivli East; Mumbai - 421201; Near Gajanand Patil Chowk,Ambarnath,Mumbai,0.0
Archies Gallery,+(91)-9960786429 ; 9322869633 ; ,Monica Collection; Shop No 12; Sanjeevani Apartments; Badlapur Ed; Mumbai - 421503; Kulgaon,Ambarnath,Mumbai,3.9
Vijay Fancy Store,+(91)-7666844811 ; ,5; Om sunrise Apt; Lal Chakki; Ulhasnagar No 4; Mumbai - 421004; Near Holy Family School,Ambarnath,Mumbai,0.0
Navneet Stationers,+(91)-9869528054 ; ,Gangubai nivas; M.phule road; Dombivli West; Mumbai - 421202,Ambarnath,Mumbai,0.0
Copy corner,+(91)-9167558765 ; ,Devinath scty; Gupte cross road; Dombivli West; Mumbai - 421202; Near machhi market,Ambarnath,Mumbai,0.0
Shree Student Xerox & Stationery,+(91)-7666574341 ; +(91)-9167183662 ; ,Shop No 6; Mahavir Rachana; Plot No 54; Sector 15; Cbd Belapur; Mumbai - 400614; Opposite Bhoomi Mall,Ambarnath,Mumbai,4.6
Shree Aashapura Stationers,+(91)-9702137046 ; 9702636304 ; ,Shop No. 6; Ujjaval Building; Zunjarrao Market; Kalyan City; Mumbai - 421301; Near Anad Sport; Shivaji Path,Ambarnath,Mumbai,0.0
Dhan Laxmi book depo,+(91)-8149067920 ; ,Shop no 1; Chinchpada road; Kalyan East; Mumbai - 421306; Opp.khadan,Ambarnath,Mumbai,0.0
Sagar Stationery,8080075813 ; +(91)-9867872189 ; ,Shop No- 3; Hanuman Nagar; Mumbai - 421306,Ambarnath,Mumbai,0.0
Shree Ganesh General Store,+(91)-9420070777 ; 9323126236 ; ,Bk 984/6; Opp Manish Tower; Ulhasnagar No 3; Mumbai - 421002; Station Road,Ambarnath,Mumbai,0.0
Twinkle Stationery,+(91)-22-39692931 ; +(91)-9867932383 ; +(91)-9892146460 ; 27574577 ; ,Vidya Commercial; Shop No 5; Cbd Belapur Mode;Sector No 11; Cbd Belapur; Mumbai - 400614; Near Bank Of India; Near UTI Bldg,Ambarnath,Mumbai,3.5
Vijay Enterprises,+(91)-9833098979 ; ,Shop no. 8 Arti Nagri; Vasant Vally Road; Kalyan City; Mumbai - 421301; Wayale Nagar,Ambarnath,Mumbai,0.0
Parag Stationers,2702562 ; +(91)-9822665547 ; +(91)-251-6421481 ; ,Shop No 634 Siry Chowk; Ulhasnagar No 2; Mumbai - 421002; Opp Dr Basantani,Ambarnath,Mumbai,0.0
Krishna Novelty,+(91)-8655115250 ; ,Shop No-6 Mohan Green Woods; Manjarli Road; Badlapur; Mumbai - 421503; Near Mohan Palms,Ambarnath,Mumbai,4.0
Shree Samartha Book Depot and Stationery,9930312847 ; +(91)-9167661920 ; ,Beturkr Pada Shop No. 09; Kala Talao Rd.; Khadakpada-Kalyan City; Mumbai - 421301; Near Ambika Eye Care,Ambarnath,Mumbai,0.0
Shree Samarth Book Depot,+(91)-251-2300050 ; ,Station Road; Kalyan City; Mumbai - 421301; Narayan Wadi,Ambarnath,Mumbai,3.0
National General Stores,+(91)-9004885697 ; ,Bhagyodaya Building; Ram Nagar Road; Dombivli East; Mumbai - 421201; Opposite Ram Mandir,Ambarnath,Mumbai,0.0
